apartment_name,school_name,distance_meters,distance_km
공감대2차(375-7),장평중학교,242.55413181,0.24
공덕1삼성래미안,서울여자중학교,246.45239758,0.25
공덕1삼성래미안,서울여자고등학교,246.45239758,0.25
공덕2삼성래미안,서울소의초등학교,215.72959805,0.22
공덕3삼성래미안,서울여자고등학교,283.00368641,0.28
공덕3삼성래미안,서울여자중학교,283.00368641,0.28
공덕아이파크,서울공덕초등학교,165.93367347,0.17
공덕자이,서울소의초등학교,189.10350805,0.19
공덕파크자이,서울디자인고등학교,205.24679748,0.21
공덕파크자이,동도중학교,205.24679748,0.21
공덕프로포즈Ⅱ,서울공덕초등학교,88.8027439,0.09
공덕현대,서울여자중학교,112.01874694,0.11
공덕현대,서울여자고등학교,112.01874694,0.11
공릉1단지아파트,서울용원초등학교,109.10000072,0.11
공릉2신도브래뉴아파트,서울공연초등학교,251.13652387,0.25
공릉동한보에센시티아파트,서울공연초등학교,562.97104695,0.56
공릉우성아파트,서울공연초등학교,190.61410247,0.19
